Price,Levy,Manufacturer,Category,Leather interior,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Airbags,Turbo,Age,Category_encoded,GearBox_encoded,Manufacturer_encoded,Drive_4x4,Drive_Front,Drive_Rear
36065,639.0,HYUNDAI,Jeep,1,2.0,69191,4.0,Automatic,Front,4,0,11,7,3,4,False,True,False
8781,1111.0,HONDA,Hatchback,1,1.3,83000,4.0,Tiptronic,Front,12,0,13,2,4,2,False,True,False
6247,760.0,CHEVROLET,Sedan,1,1.8,40772,4.0,Automatic,Front,4,0,15,3,3,3,False,True,False
16289,642.0,CHEVROLET,Jeep,1,2.0,172000,4.0,Automatic,Front,4,0,13,7,3,3,False,True,False
6981,1095.0,DAEWOO,Sedan,1,2.0,103246,4.0,Automatic,Front,4,0,17,3,3,1,False,True,False
27284,891.0,HYUNDAI,Sedan,0,2.0,105394,4.0,Tiptronic,Front,12,0,9,3,4,4,False,True,False
32929,836.0,BMW,Coupe,1,2.0,160000,4.0,Automatic,Rear,12,1,12,4,3,3,False,False,True
15458,966.0,HYUNDAI,Coupe,1,2.0,123346,4.0,Automatic,Front,4,0,16,4,3,4,False,True,False
2901,473.0,CHEVROLET,Sedan,1,1.4,80827,4.0,Automatic,Front,12,0,11,3,3,3,False,True,False
26657,1195.0,MERCEDES-BENZ,Microbus,0,2.2,300000,4.0,Manual,Rear,1,1,21,5,1,3,False,False,True
10663,988.0,TOYOTA,Hatchback,0,1.5,318400,4.0,Automatic,Front,6,0,18,2,3,3,False,True,False
12858,765.0,FORD,Sedan,0,2.0,91200,4.0,Automatic,Front,10,0,10,3,3,3,False,True,False
12858,861.0,KIA,Hatchback,0,1.2,107000,4.0,Manual,Front,2,0,9,2,1,3,False,True,False
15000,1018.0,BMW,Sedan,1,3.0,210408,6.0,Tiptronic,Rear,12,0,17,3,4,3,False,False,True
44752,1091.0,HYUNDAI,Universal,1,2.5,86000,4.0,Automatic,Front,4,0,9,6,3,4,False,True,False
17158,687.0,HYUNDAI,Sedan,1,1.6,122740,4.0,Automatic,Front,4,0,15,3,3,4,False,True,False
12231,831.0,MITSUBISHI,Jeep,0,2.4,144000,4.0,Tiptronic,4x4,16,0,20,7,4,2,True,False,False
25591,640.0,SSANGYONG,Jeep,1,2.0,85704,4.0,Automatic,Front,4,0,12,7,3,5,False,True,False
14897,836.0,HYUNDAI,Jeep,1,2.0,58962,4.0,Automatic,Front,4,0,15,7,3,4,False,True,False
23521,779.0,TOYOTA,Sedan,1,2.5,90000,4.0,Tiptronic,Front,12,0,12,3,4,3,False,True,False
16935,765.0,FORD,Sedan,1,2.0,71454,4.0,Automatic,Front,0,0,10,3,3,3,False,True,False
19444,781.0,TOYOTA,Sedan,1,2.5,0,4.0,Tiptronic,Front,6,0,13,3,4,3,False,True,False
11604,639.0,HYUNDAI,Sedan,1,2.0,346470,4.0,Automatic,Front,4,0,11,3,3,4,False,True,False
9408,872.0,MERCEDES-BENZ,Sedan,0,2.2,111111,4.0,Manual,Rear,4,1,26,3,1,3,False,False,True
13328,1347.0,HYUNDAI,Minivan,1,2.5,74444,4.0,Automatic,Front,4,0,17,9,3,4,False,True,False
20071,831.0,TOYOTA,Jeep,0,2.4,135000,4.0,Automatic,4x4,8,0,17,7,3,3,True,False,False
22894,862.0,HYUNDAI,Minivan,1,2.5,124444,4.0,Automatic,Front,4,0,14,9,3,4,False,True,False
2901,503.0,HONDA,Sedan,1,1.5,146403,4.0,Automatic,Front,0,0,13,3,3,2,False,True,False
18660,753.0,HYUNDAI,Sedan,1,2.4,130000,4.0,Tiptronic,Front,6,0,12,3,4,4,False,True,False
22580,1017.0,MERCEDES-BENZ,Sedan,1,2.0,50930,4.0,Automatic,Rear,12,0,8,3,3,3,False,False,True
11604,639.0,HYUNDAI,Sedan,1,2.0,264872,4.0,Automatic,Front,4,0,11,3,3,4,False,True,False
5488,751.0,GMC,Jeep,1,2.4,138958,4.0,Automatic,Front,12,0,12,7,3,1,False,True,False
18817,609.0,TOYOTA,Sedan,1,2.5,35058,4.0,Automatic,Front,12,0,7,3,3,3,False,True,False
21169,697.0,HONDA,Jeep,0,1.8,33330,4.0,Automatic,4x4,8,0,10,7,3,2,True,False,False
9095,694.0,FIAT,Coupe,0,1.2,141000,4.0,Automatic,Front,4,0,14,4,3,2,False,True,False
3136,836.5,SUBARU,Goods wagon,0,2.0,180000,6.0,Tiptronic,4x4,6,1,20,1,4,2,True,False,False
17876,585.0,HYUNDAI,Sedan,1,1.8,117920,4.0,Tiptronic,Front,12,0,12,3,4,4,False,True,False
11290,891.0,HYUNDAI,Sedan,1,2.0,279787,4.0,Automatic,Front,4,0,9,3,3,4,False,True,False
36065,1399.0,TOYOTA,Minivan,1,3.5,227200,6.0,Tiptronic,Front,16,0,15,9,4,3,False,True,False
21395,781.0,HYUNDAI,Universal,1,2.5,166144,4.0,Automatic,Front,4,0,13,6,3,4,False,True,False
15681,891.0,HYUNDAI,Sedan,1,2.0,258706,4.0,Automatic,Front,4,0,9,3,3,4,False,True,False
40070,690.0,TOYOTA,Hatchback,1,1.5,25807,4.0,Automatic,Front,4,0,9,2,3,3,False,True,False
11917,1436.0,MERCEDES-BENZ,Hatchback,0,1.7,180000,4.0,Automatic,Front,8,0,17,2,3,3,False,True,False
35927,640.0,SSANGYONG,Jeep,1,2.0,137267,4.0,Automatic,Front,4,0,12,7,3,5,False,True,False
21012,308.0,TOYOTA,Sedan,0,1.8,160000,4.0,Automatic,4x4,4,0,11,3,3,3,True,False,False
13172,1361.0,KIA,Minivan,1,2.9,84176,4.0,Automatic,Front,6,0,16,9,3,3,False,True,False
15624,707.0,HYUNDAI,Coupe,1,2.0,107005,4.0,Automatic,Front,4,0,14,4,3,4,False,True,False
5488,1273.0,INFINITI,Jeep,1,3.5,124154,6.0,Automatic,4x4,12,0,10,7,3,4,True,False,False
20005,531.0,HYUNDAI,Sedan,1,1.6,104997,4.0,Automatic,Front,4,0,13,3,3,4,False,True,False
36110,924.0,VOLKSWAGEN,Sedan,1,1.8,27728,6.0,Tiptronic,Front,8,0,8,3,4,2,False,True,False
43880,891.0,HYUNDAI,Jeep,1,2.0,113700,4.0,Automatic,Front,4,0,9,7,3,4,False,True,False
29479,584.0,MERCEDES-BENZ,Sedan,1,1.8,69000,4.0,Tiptronic,Rear,8,1,11,3,4,3,False,False,True
17249,779.0,TOYOTA,Sedan,1,2.5,152000,4.0,Variator,Front,12,0,14,3,2,3,False,True,False
9408,391.0,TOYOTA,Universal,0,1.5,181926,4.0,Automatic,4x4,2,0,22,6,3,3,True,False,False
44213,891.0,HYUNDAI,Jeep,1,2.0,50255,4.0,Automatic,Front,4,0,9,7,3,4,False,True,False
21950,831.0,FORD,Goods wagon,0,2.4,125000,4.0,Manual,4x4,2,1,14,1,1,3,True,False,False
3136,473.0,CHEVROLET,Sedan,1,1.4,156992,4.0,Automatic,Front,12,0,11,3,3,3,False,True,False
20385,1211.0,MITSUBISHI,Minivan,1,3.0,184000,6.0,Automatic,4x4,12,0,20,9,3,2,True,False,False
7840,1228.0,MERCEDES-BENZ,Universal,0,1.9,170000,4.0,Tiptronic,Front,4,0,21,6,4,3,False,True,False
13172,831.0,HONDA,Jeep,0,2.4,260000,4.0,Automatic,4x4,6,0,23,7,3,2,True,False,False
4704,917.0,AUDI,Hatchback,1,3.0,301707,6.0,Automatic,4x4,0,0,12,2,3,3,True,False,False
5802,1055.0,MERCEDES-BENZ,Sedan,1,3.5,107800,6.0,Automatic,Rear,12,0,12,3,3,3,False,False,True
25716,777.0,TOYOTA,Sedan,0,2.5,115200,4.0,Automatic,Front,8,0,11,3,3,3,False,True,False
14426,642.0,CHEVROLET,Jeep,1,2.0,132036,4.0,Automatic,Front,4,0,13,7,3,3,False,True,False
10820,764.0,TOYOTA,Jeep,0,2.0,91000,4.0,Automatic,4x4,4,0,24,7,3,3,True,False,False
45436,1172.0,FORD,Jeep,1,3.5,129177,4.0,Automatic,Front,4,0,14,7,3,3,False,True,False
11917,893.0,HYUNDAI,Hatchback,0,1.6,201000,4.0,Manual,Front,8,0,17,2,1,4,False,True,False
41281,765.0,HYUNDAI,Jeep,1,2.0,185811,4.0,Automatic,Front,4,0,10,7,3,4,False,True,False
3700,645.0,ALFA ROMEO,Coupe,1,1.8,240000,4.0,Manual,Front,4,0,24,4,1,1,False,True,False
15681,730.0,SUZUKI,Jeep,0,1.6,98000,4.0,Automatic,4x4,12,0,17,7,3,2,True,False,False
6586,645.0,LEXUS,Hatchback,1,1.8,122302,4.0,Automatic,Front,0,0,14,2,3,3,False,True,False
12544,552.0,TOYOTA,Hatchback,0,1.5,140000,4.0,Automatic,Front,6,0,18,2,3,3,False,True,False
30063,639.0,HYUNDAI,Jeep,1,2.0,120000,4.0,Automatic,Front,4,0,11,7,3,4,False,True,False
21639,531.0,HYUNDAI,Hatchback,0,1.6,17200,4.0,Tiptronic,Front,10,0,10,2,4,4,False,True,False
36692,934.0,TOYOTA,Jeep,0,2.5,120000,4.0,Tiptronic,Front,0,0,12,7,4,3,False,True,False
12231,1266.0,TOYOTA,Hatchback,0,1.5,66000,4.0,Variator,Front,4,0,11,2,2,3,False,True,False
3136,784.0,TOYOTA,Sedan,0,1.5,300000,4.0,Variator,Front,4,0,21,3,2,3,False,True,False
10663,586.0,TOYOTA,Sedan,1,1.8,230000,4.0,Variator,Front,6,0,16,3,2,3,False,True,False
5620,447.0,HONDA,Hatchback,1,1.3,110467,4.0,Automatic,Front,4,0,12,2,3,2,False,True,False
9408,1111.0,HONDA,Hatchback,0,1.3,64000,4.0,Variator,Front,4,0,13,2,2,2,False,True,False
15367,640.0,VOLKSWAGEN,Sedan,1,2.0,179200,4.0,Tiptronic,Front,16,1,12,3,4,2,False,True,False
26594,777.0,HYUNDAI,Minivan,1,2.5,179918,4.0,Automatic,Front,4,0,11,9,3,4,False,True,False
36065,779.0,TOYOTA,Sedan,1,2.5,92200,4.0,Tiptronic,Front,12,0,12,3,4,3,False,True,False
26343,730.0,KIA,Sedan,1,1.6,29000,4.0,Tiptronic,Front,8,1,9,3,4,3,False,True,False
14000,585.0,HYUNDAI,Sedan,0,1.8,50000,4.0,Tiptronic,Front,10,0,12,3,4,4,False,True,False
17923,473.0,CHEVROLET,Sedan,1,1.4,127842,4.0,Automatic,Front,4,0,11,3,3,3,False,True,False
10349,531.0,OPEL,Hatchback,0,1.6,180000,4.0,Manual,Front,6,0,22,2,1,1,False,True,False
8154,691.0,TOYOTA,Hatchback,0,1.3,115000,4.0,Automatic,Front,7,0,23,2,3,3,False,True,False
7527,640.0,VOLKSWAGEN,Sedan,1,2.0,132310,4.0,Automatic,Front,12,0,12,3,3,2,False,True,False
3450,1249.0,TOYOTA,Sedan,1,2.5,60762,4.0,Automatic,Front,12,0,8,3,3,3,False,True,False
22063,836.0,HYUNDAI,Jeep,1,2.0,142264,4.0,Automatic,Front,4,0,15,7,3,4,False,True,False
2901,503.0,HONDA,Sedan,1,1.5,146403,4.0,Automatic,Front,0,0,13,3,3,2,False,True,False
4704,585.0,TOYOTA,Sedan,1,1.8,227371,4.0,Automatic,Front,12,0,12,3,3,3,False,True,False
5331,1176.5,VOLKSWAGEN,Sedan,1,2.8,175000,6.0,Manual,Front,6,0,23,3,1,2,False,True,False
16900,502.0,HONDA,Hatchback,1,1.5,70000,4.0,Automatic,Front,4,0,12,2,3,2,False,True,False
18189,934.0,NISSAN,Jeep,1,2.5,122000,4.0,Automatic,4x4,4,0,15,7,3,2,True,False,False
5331,862.0,MAZDA,Minivan,0,2.5,127000,4.0,Automatic,Front,4,0,25,9,3,2,False,True,False
42651,1017.0,MERCEDES-BENZ,Jeep,1,2.0,44995,4.0,Automatic,4x4,0,0,8,7,3,3,True,False,False
15524,586.0,TOYOTA,Hatchback,0,1.8,122324,4.0,Automatic,Front,7,0,13,2,3,3,False,True,False
17249,1018.0,BMW,Sedan,1,3.0,111111,6.0,Tiptronic,Rear,10,0,18,3,4,3,False,False,True
28909,831.0,HYUNDAI,Sedan,1,1.6,98000,4.0,Automatic,Front,4,0,8,3,3,4,False,True,False
14426,639.0,HYUNDAI,Sedan,1,2.0,169024,4.0,Automatic,Front,4,0,11,3,3,4,False,True,False
9000,1325.0,VOLKSWAGEN,Minivan,0,1.4,126000,4.0,Automatic,Front,6,0,14,9,3,2,False,True,False
30734,1053.0,MERCEDES-BENZ,Sedan,1,3.5,200179,6.0,Automatic,4x4,12,0,11,3,3,3,True,False,False
22580,779.0,TOYOTA,Sedan,1,2.5,156666,4.0,Automatic,Front,12,0,12,3,3,3,False,True,False
7464,247.0,HONDA,Hatchback,1,1.3,114950,4.0,Automatic,Front,4,0,11,2,3,2,False,True,False
49237,1342.0,TOYOTA,Jeep,1,2.7,94262,4.0,Automatic,Rear,12,0,8,7,3,3,False,False,True
7683,586.0,NISSAN,Sedan,1,1.8,200000,4.0,Variator,Front,2,0,19,3,2,2,False,True,False
22266,629.0,FORD,Sedan,1,1.6,85500,4.0,Automatic,Front,8,1,12,3,3,3,False,True,False
33556,765.0,MERCEDES-BENZ,Sedan,1,2.0,0,4.0,Automatic,Rear,12,0,10,3,3,3,False,False,True
39161,831.0,SSANGYONG,Jeep,1,1.6,73000,4.0,Automatic,Front,4,0,8,7,3,5,False,True,False
16308,1195.0,FORD,Microbus,0,2.2,180000,4.0,Manual,Front,2,0,17,5,1,3,False,True,False
17719,753.0,TOYOTA,Sedan,1,2.4,92000,4.0,Tiptronic,Front,8,0,16,3,4,3,False,True,False
20385,738.0,CHEVROLET,Sedan,0,1.4,42000,4.0,Tiptronic,Front,12,1,8,3,4,3,False,True,False
49858,1077.0,HYUNDAI,Jeep,1,2.0,48000,4.0,Automatic,Front,4,0,6,7,3,4,False,True,False
15241,707.0,HYUNDAI,Coupe,1,2.0,117492,4.0,Automatic,Front,4,0,14,4,3,4,False,True,False
2587,382.0,FORD,Sedan,1,2.0,88795,4.0,Automatic,Front,0,0,10,3,3,3,False,True,False
15524,1347.0,HYUNDAI,Minivan,1,2.5,56769,4.0,Automatic,Front,4,0,17,9,3,4,False,True,False
27911,586.0,MERCEDES-BENZ,Sedan,1,1.8,70000,4.0,Tiptronic,Rear,8,1,11,3,4,3,False,False,True
4861,779.0,TOYOTA,Sedan,1,2.5,136861,4.0,Automatic,Front,12,0,12,3,3,3,False,True,False
29793,1172.0,MERCEDES-BENZ,Sedan,1,3.5,263000,4.0,Automatic,Rear,0,0,20,3,3,3,False,False,True
18208,531.0,HYUNDAI,Sedan,1,1.6,95665,4.0,Automatic,Front,4,0,13,3,3,4,False,True,False
34497,779.0,TOYOTA,Jeep,0,2.5,65350,4.0,Tiptronic,Front,12,0,12,7,4,3,False,True,False
6272,1522.0,OPEL,Goods wagon,0,1.8,130000,4.0,Manual,Front,0,0,25,1,1,1,False,True,False
4924,1282.0,CHEVROLET,Jeep,1,2.0,183923,4.0,Automatic,Front,4,0,18,7,3,3,False,True,False
4704,641.0,OPEL,Hatchback,0,2.0,11111,4.0,Manual,Front,2,1,25,2,1,1,False,True,False
43576,1091.0,HYUNDAI,Universal,1,2.5,97129,4.0,Automatic,Front,4,0,9,6,3,4,False,True,False
7840,765.0,MERCEDES-BENZ,Sedan,1,2.0,140000,4.0,Manual,Rear,4,0,24,3,1,3,False,False,True
28225,1079.0,TOYOTA,Jeep,0,2.0,24000,4.0,Automatic,Front,8,0,7,7,3,3,False,True,False
18817,738.0,CHEVROLET,Hatchback,1,1.4,29094,4.0,Automatic,Front,0,0,8,2,3,3,False,True,False
4861,382.0,FORD,Sedan,1,2.0,148709,4.0,Automatic,Front,12,0,10,3,3,3,False,True,False
13172,1399.0,LEXUS,Jeep,1,3.5,186005,6.0,Automatic,4x4,12,0,15,7,3,3,True,False,False
37320,1055.0,MERCEDES-BENZ,Sedan,1,3.5,156800,4.0,Tiptronic,4x4,12,0,12,3,4,3,True,False,False
39201,456.0,TOYOTA,Sedan,1,2.5,35000,4.0,Automatic,Front,10,0,10,3,3,3,False,True,False
36426,880.0,HYUNDAI,Sedan,1,1.6,35643,4.0,Automatic,Front,4,0,7,3,3,4,False,True,False
8467,586.0,HONDA,Hatchback,0,1.8,250000,4.0,Manual,Front,4,0,19,2,1,2,False,True,False
7840,1228.5,MERCEDES-BENZ,Coupe,1,3.2,255000,6.0,Tiptronic,Rear,4,0,25,4,4,3,False,False,True
12701,900.0,HONDA,Jeep,1,2.4,117158,4.0,Automatic,Front,12,0,10,7,3,2,False,True,False
8154,781.0,SUBARU,Jeep,1,2.5,281659,4.0,Automatic,4x4,0,0,13,7,3,2,True,False,False
46414,456.0,TOYOTA,Sedan,1,2.5,63645,4.0,Tiptronic,Front,12,0,10,3,4,3,False,True,False
45160,798.0,MERCEDES-BENZ,Jeep,1,2.1,197338,4.0,Automatic,4x4,12,0,10,7,3,3,True,False,False
12231,645.0,HYUNDAI,Coupe,0,1.8,77000,6.0,Manual,Front,0,0,12,4,1,4,False,True,False
5802,988.0,TOYOTA,Hatchback,1,1.5,140000,4.0,Variator,Front,12,0,18,2,2,3,False,True,False
2901,1277.0,HYUNDAI,Sedan,1,2.4,45494,4.0,Automatic,Front,12,0,7,3,3,4,False,True,False
11290,574.0,HONDA,Sedan,0,1.3,145000,4.0,Automatic,Front,8,0,12,3,3,2,False,True,False
14426,753.0,TOYOTA,Sedan,1,2.4,188800,4.0,Variator,Front,8,0,19,3,2,3,False,True,False
36065,1051.0,MITSUBISHI,Jeep,1,2.4,39000,4.0,Variator,Front,12,0,9,7,2,2,False,True,False
27284,779.0,TOYOTA,Sedan,1,2.5,52000,4.0,Tiptronic,Front,12,0,11,3,4,3,False,True,False
21639,1091.0,SUBARU,Jeep,0,2.5,34000,4.0,Variator,4x4,7,0,9,7,2,2,True,False,False
7840,790.0,HYUNDAI,Hatchback,1,1.6,140000,4.0,Automatic,Front,4,0,16,2,3,4,False,True,False
24198,640.0,HYUNDAI,Jeep,1,2.0,124000,4.0,Automatic,Front,4,0,12,7,3,4,False,True,False
25365,502.0,HONDA,Hatchback,1,1.5,34682,4.0,Automatic,Front,4,0,12,2,3,2,False,True,False
17249,586.0,TOYOTA,Sedan,0,1.8,22400,4.0,Automatic,Front,8,0,13,3,3,3,False,True,False
31361,639.0,HYUNDAI,Sedan,1,2.0,62000,4.0,Tiptronic,Front,12,1,11,3,4,4,False,True,False
4704,1047.0,HYUNDAI,Sedan,1,1.6,54279,4.0,Automatic,Front,4,0,18,3,3,4,False,True,False
12720,645.0,CHEVROLET,Sedan,1,1.8,135759,4.0,Automatic,Front,4,0,14,3,3,3,False,True,False
26372,640.0,HYUNDAI,Jeep,1,2.0,120534,4.0,Automatic,Front,4,0,12,7,3,4,False,True,False
13485,919.0,BMW,Jeep,1,3.0,189000,6.0,Tiptronic,4x4,10,0,22,7,4,3,True,False,False
25591,528.0,HYUNDAI,Sedan,1,1.6,140000,4.0,Automatic,Front,4,0,11,3,3,4,False,True,False
6429,1211.0,MERCEDES-BENZ,Sedan,1,3.0,108517,6.0,Automatic,4x4,12,0,15,3,3,3,True,False,False
8097,790.0,DAEWOO,Sedan,1,1.6,130000,4.0,Automatic,Front,4,0,16,3,3,1,False,True,False
18503,765.0,HYUNDAI,Sedan,0,2.0,280480,4.0,Automatic,Front,9,0,13,3,3,4,False,True,False
12231,574.0,HONDA,Sedan,0,1.3,150000,4.0,Variator,Front,12,0,15,3,2,2,False,True,False
17054,862.0,HYUNDAI,Universal,1,2.5,237853,4.0,Automatic,Front,4,0,14,6,3,4,False,True,False
5300,1280.0,HONDA,Universal,0,2.0,111000,4.0,Automatic,Front,6,0,24,6,3,2,False,True,False
9565,765.0,HYUNDAI,Sedan,1,2.0,42000,4.0,Automatic,Front,4,0,10,3,3,4,False,True,False
24302,765.0,CHEVROLET,Sedan,1,2.0,60618,4.0,Automatic,Front,4,0,10,3,3,3,False,True,False
18817,753.0,TOYOTA,Sedan,1,2.4,230400,4.0,Automatic,Front,12,0,16,3,3,3,False,True,False
17249,1051.0,HYUNDAI,Sedan,0,2.4,77000,4.0,Tiptronic,Front,10,0,9,3,4,4,False,True,False
15530,891.0,HYUNDAI,Sedan,1,2.0,280016,4.0,Automatic,Front,4,0,9,3,3,4,False,True,False
11290,891.0,HYUNDAI,Sedan,1,2.0,270874,4.0,Automatic,Front,4,0,9,3,3,4,False,True,False
24148,586.0,TOYOTA,Hatchback,0,1.8,118000,4.0,Automatic,Front,12,0,12,2,3,3,False,True,False
10036,639.0,HYUNDAI,Sedan,1,2.0,362868,4.0,Automatic,Front,4,0,11,3,3,4,False,True,False
18817,697.0,HYUNDAI,Sedan,0,1.8,85000,4.0,Tiptronic,Front,12,0,10,3,4,4,False,True,False
10349,308.0,LEXUS,Hatchback,1,1.8,132563,4.0,Automatic,Front,0,0,11,2,3,3,False,True,False
25089,779.0,TOYOTA,Sedan,1,2.5,132800,6.0,Tiptronic,Rear,12,0,12,3,4,3,False,False,True
18669,862.0,HYUNDAI,Minivan,1,2.5,52686,4.0,Automatic,Front,4,0,14,9,3,4,False,True,False
10660,271.0,HONDA,Hatchback,1,1.5,76525,4.0,Automatic,Front,4,0,11,2,3,2,False,True,False
37000,891.0,HYUNDAI,Jeep,1,2.0,80000,4.0,Automatic,Front,4,0,9,7,3,4,False,True,False
18826,707.0,SSANGYONG,Jeep,1,2.0,186412,4.0,Automatic,Front,4,0,14,7,3,5,False,True,False
14583,1172.0,MERCEDES-BENZ,Sedan,1,3.5,230696,6.0,Automatic,4x4,12,0,14,3,3,3,True,False,False
21012,1054.0,MERCEDES-BENZ,Minivan,0,2.2,285000,4.0,Manual,Rear,4,1,18,9,1,3,False,False,True
